iter	MultiClass
0	2.248305469
1	1.997306055
2	1.826875781
3	1.699873047
4	1.599299121
5	1.516074609
6	1.44648877
7	1.386355273
8	1.334989063
9	1.290035352
10	1.250759375
11	1.216304492
12	1.185742676
13	1.158203906
14	1.133680957
15	1.11147666
16	1.091877832
17	1.073994141
18	1.056777344
19	1.041399219
20	1.028107227
21	1.015821582
22	1.004003418
23	0.9938092773
24	0.9843280273
25	0.9747376953
26	0.9663890625
27	0.9585107422
28	0.9509759766
29	0.9447073242
30	0.9386166016
31	0.9324655273
32	0.9277913086
33	0.9235391602
34	0.91880625
35	0.9144914063
36	0.9099837891
37	0.906390918
38	0.9028845703
39	0.8997665039
40	0.8973943359
41	0.8951262695
42	0.8924461914
43	0.8894367187
44	0.8871244141
45	0.8849869141
46	0.883240625
47	0.8809495117
48	0.8795452148
49	0.8779223633
50	0.8762692383
51	0.8743730469
52	0.873271875
53	0.8720603516
54	0.8705896484
55	0.8696091797
56	0.8683482422
57	0.867087207
58	0.8662257813
59	0.8653930664
60	0.8643786133
61	0.8634583984
62	0.8624179687
63	0.8614966797
64	0.8607060547
65	0.859905957
66	0.8592099609
67	0.8584539062
68	0.857587207
69	0.8567174805
70	0.8559382813
71	0.8549338867
72	0.8541111328
73	0.8534670898
74	0.8529429687
75	0.852206543
76	0.8516547852
77	0.8508799805
78	0.8502132812
79	0.8497125977
80	0.849040332
81	0.8486255859
82	0.8480322266
83	0.8475691406
84	0.8468480469
85	0.8463240234
86	0.8457261719
87	0.845021582
88	0.8446616211
89	0.8439392578
90	0.8434892578
91	0.8429308594
92	0.8420463867
93	0.8417441406
94	0.8412447266
95	0.8407430664
96	0.8404373047
97	0.8400758789
98	0.8396699219
99	0.8393825195
100	0.8388351563
101	0.8384283203
102	0.8379040039
103	0.8374229492
104	0.8370380859
105	0.8367691406
106	0.8363599609
107	0.8360863281
108	0.8356859375
109	0.8353623047
110	0.8348452148
111	0.8345173828
112	0.8341919922
113	0.8338925781
114	0.8335250977
115	0.8332042969
116	0.8329107422
117	0.8325033203
118	0.8318355469
119	0.8312865234
120	0.8308219727
121	0.8303623047
122	0.8298546875
123	0.829575293
124	0.8292933594
125	0.8289510742
126	0.8285973633
127	0.8282887695
128	0.8279967773
129	0.8275570313
130	0.8272890625
131	0.8269168945
132	0.8264908203
133	0.8260547852
134	0.8257606445
135	0.8254356445
136	0.825196582
137	0.8250014648
138	0.8247151367
139	0.824415332
140	0.8239713867
141	0.823637793
142	0.8232908203
143	0.8230761719
144	0.8228362305
145	0.8227137695
146	0.8224256836
147	0.8221151367
148	0.8218688477
149	0.8215571289
150	0.8213015625
151	0.8210291016
152	0.8207219727
153	0.820318457
154	0.8200345703
155	0.8197402344
156	0.8193736328
157	0.8191789551
158	0.818673877
